MOF, H,C,N,F,Cl,Br,Zn,Cu,Cd,Co,Mn,Ag,Ni,Fe,Mo,In,metal type, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen 
UJIPAG_clean.cif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,0,5,0.714285714,2.457142857,0
UJIPEK_clean.cif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,0,5,0.714285714,2.457142857,0
UJIZET_clean.cif,32,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,21,11.11111111,6,0.25,0.86,0
UJOJAG_clean.cif,42,30,24,0,0,0,0,0,0,0,8,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOJEK01_clean.cif,42,30,24,0,0,0,0,0,0,0,8,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOJEK02_clean.cif,42,30,24,0,0,0,0,0,0,0,8,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOJEK_clean.cif,42,30,24,0,0,0,0,0,0,0,8,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOJIO01_clean.cif,42,30,24,0,0,0,0,0,0,0,8,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOJIO02_clean.cif,42,30,24,0,0,0,0,0,0,0,8,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOJIO03_clean.cif,42,30,24,0,0,0,0,0,0,0,8,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOJIO04_clean.cif,42,30,24,0,0,0,0,0,0,0,8,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOJIO05_clean.cif,42,30,24,0,0,0,0,0,0,0,8,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOJIO06_clean.cif,42,30,24,0,0,0,0,0,0,0,8,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOJIO07_clean.cif,42,30,24,0,0,0,0,0,0,0,8,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOJIO_clean.cif,42,30,24,0,0,0,0,0,0,0,8,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOJOU01_clean.cif,42,30,24,0,0,0,0,0,0,0,8,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOJOU_clean.cif,42,30,24,0,0,0,0,0,0,0,8,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOKIP01_clean.cif,42,30,24,0,0,0,0,0,0,0,6,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOKIP02_clean.cif,42,30,24,0,0,0,0,0,0,0,6,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOKIP03_clean.cif,42,30,24,0,0,0,0,0,0,0,6,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOKIP04_clean.cif,42,30,24,0,0,0,0,0,0,0,6,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOKIP05_clean.cif,42,30,24,0,0,0,0,0,0,0,6,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOKIP_clean.cif,42,30,24,0,0,0,0,0,0,0,6,0,0,0,0,0, Mn,4,26.66666667,1.5,0.310344828,0.984827586,2
UJOWEW_clean.cif,40,56,24,0,0,0,0,4,0,0,0,0,0,0,0,0, Cu,31,10.71428571,0,0.19047619,0.579047619,0
UJULIW_clean.cif,28,28,0,0,0,0,0,6,0,0,0,0,0,0,0,0, Cu,15,21.42857143,8,0.406779661,1.399322034,0
UJUMUJ_clean.cif,168,232,24,0,0,0,0,0,0,8,0,0,0,0,0,0, Co,143,3.448275862,4,0.120689655,0.394482759,0.75
UJUPUM_clean.cif,144,96,192,0,0,0,28,0,0,0,0,0,0,0,0,0, Zn,-23,29.16666667,0,0.417391304,1.268869565,0
UJUQIB_clean.cif,60,90,30,0,0,0,0,0,0,6,0,0,0,0,0,0, Co,53.5,6.666666667,2.333333333,0.22,0.6968,2.142857143
UJUXOM_clean.cif,120,48,24,0,0,0,0,0,0,0,0,8,0,0,0,0, Ag,-17,16.66666667,0,0.12,0.3648,0
UKAJOH_clean.cif,384,448,64,0,0,0,16,0,0,0,0,0,0,0,0,0, Zn,241,3.571428571,6,0.15625,0.5125,0.666666667
UKAPUS_clean.cif,24,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,31,4.761904762,7,0.166666667,0.573333333,0
UKAQAZ_clean.cif,24,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,31,4.761904762,7,0.166666667,0.573333333,0
UKAQED_clean.cif,24,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,31,4.761904762,7,0.166666667,0.573333333,0
UKAQIH_clean.cif,24,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,31,4.761904762,7,0.166666667,0.573333333,0
UKAZAI_clean.cif,24,72,0,0,0,0,0,48,0,0,8,0,0,0,0,0, CuMn,61,88.88888889,2.625,0.512195122,1.76195122,0
UKAZEM_clean.cif,0,36,0,0,4,0,0,12,0,0,4,0,0,0,0,0, CuMn,35,44.44444444,4.5,0.59375,2.03375,0
